parameter,location,species,year,Spawner Abundace & Run Size 
NuSEDS counts by CU,Morice,Lake sockeye,1950,42750
NuSEDS counts by CU,Morice,Lake sockeye,1951,55400
NuSEDS counts by CU,Morice,Lake sockeye,1952,
NuSEDS counts by CU,Morice,Lake sockeye,1953,35700
NuSEDS counts by CU,Morice,Lake sockeye,1954,
NuSEDS counts by CU,Morice,Lake sockeye,1955,4000
NuSEDS counts by CU,Morice,Lake sockeye,1956,6000
NuSEDS counts by CU,Morice,Lake sockeye,1957,400
NuSEDS counts by CU,Morice,Lake sockeye,1958,25
NuSEDS counts by CU,Morice,Lake sockeye,1959,750
NuSEDS counts by CU,Morice,Lake sockeye,1960,3500
NuSEDS counts by CU,Morice,Lake sockeye,1961,5000
NuSEDS counts by CU,Morice,Lake sockeye,1962,3000
NuSEDS counts by CU,Morice,Lake sockeye,1963,2500
NuSEDS counts by CU,Morice,Lake sockeye,1964,8500
NuSEDS counts by CU,Morice,Lake sockeye,1965,11000
NuSEDS counts by CU,Morice,Lake sockeye,1966,6900
NuSEDS counts by CU,Morice,Lake sockeye,1967,3900
NuSEDS counts by CU,Morice,Lake sockeye,1968,3800
NuSEDS counts by CU,Morice,Lake sockeye,1969,3300
NuSEDS counts by CU,Morice,Lake sockeye,1970,4700
NuSEDS counts by CU,Morice,Lake sockeye,1971,3300
NuSEDS counts by CU,Morice,Lake sockeye,1972,1800
NuSEDS counts by CU,Morice,Lake sockeye,1973,1200
NuSEDS counts by CU,Morice,Lake sockeye,1974,1200
NuSEDS counts by CU,Morice,Lake sockeye,1975,325
NuSEDS counts by CU,Morice,Lake sockeye,1976,100
NuSEDS counts by CU,Morice,Lake sockeye,1977,600
NuSEDS counts by CU,Morice,Lake sockeye,1978,750
NuSEDS counts by CU,Morice,Lake sockeye,1979,1050
NuSEDS counts by CU,Morice,Lake sockeye,1980,650
NuSEDS counts by CU,Morice,Lake sockeye,1981,1300
NuSEDS counts by CU,Morice,Lake sockeye,1982,3000
NuSEDS counts by CU,Morice,Lake sockeye,1983,4000
NuSEDS counts by CU,Morice,Lake sockeye,1984,3000
NuSEDS counts by CU,Morice,Lake sockeye,1985,2002
NuSEDS counts by CU,Morice,Lake sockeye,1986,3000
NuSEDS counts by CU,Morice,Lake sockeye,1987,4000
NuSEDS counts by CU,Morice,Lake sockeye,1988,1000
NuSEDS counts by CU,Morice,Lake sockeye,1989,5600
NuSEDS counts by CU,Morice,Lake sockeye,1990,6000
NuSEDS counts by CU,Morice,Lake sockeye,1991,40000
NuSEDS counts by CU,Morice,Lake sockeye,1992,27000
NuSEDS counts by CU,Morice,Lake sockeye,1993,22000
NuSEDS counts by CU,Morice,Lake sockeye,1994,
NuSEDS counts by CU,Morice,Lake sockeye,1995,35000
NuSEDS counts by CU,Morice,Lake sockeye,1996,41000
NuSEDS counts by CU,Morice,Lake sockeye,1997,24000
NuSEDS counts by CU,Morice,Lake sockeye,1998,6000
NuSEDS counts by CU,Morice,Lake sockeye,1999,15000
NuSEDS counts by CU,Morice,Lake sockeye,2000,3000
NuSEDS counts by CU,Morice,Lake sockeye,2001,4000
NuSEDS counts by CU,Morice,Lake sockeye,2002,
NuSEDS counts by CU,Morice,Lake sockeye,2003,10000
NuSEDS counts by CU,Morice,Lake sockeye,2004,7750
NuSEDS counts by CU,Morice,Lake sockeye,2005,
NuSEDS counts by CU,Morice,Lake sockeye,2006,8252
NuSEDS counts by CU,Morice,Lake sockeye,2007,13400
NuSEDS counts by CU,Morice,Lake sockeye,2008,9000
NuSEDS counts by CU,Morice,Lake sockeye,2009,11971
NuSEDS counts by CU,Morice,Lake sockeye,2010,3685
NuSEDS counts by CU,Morice,Lake sockeye,2011,4607
NuSEDS counts by CU,Morice,Lake sockeye,2012,6700
NuSEDS counts by CU,Morice,Lake sockeye,2013,6471
NuSEDS counts by CU,Morice,Lake sockeye,2014,14400
NuSEDS counts by CU,Morice,Lake sockeye,2015,20746
NuSEDS counts by CU,Morice,Lake sockeye,2016,14140
NuSEDS counts by CU,Morice,Lake sockeye,2017,14135
NuSEDS counts by CU,Morice,Lake sockeye,2018,15301
NuSEDS counts by CU,Morice,Lake sockeye,2019,24768
NuSEDS counts by CU,Morice,Lake sockeye,2020,23684