parameter,location,species,year,datavalue
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1950,30595
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1951,13143
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1952,18910
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1953,13000
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1954,24150
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1955,26000
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1956,14133
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1957,20647
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1958,14097
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1959,48461
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1960,17689
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1961,15428
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1962,27070
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1963,20571
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1964,11143
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1965,2532
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1966,17464
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1967,33492
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1968,25736
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1969,6739
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1970,15149
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1971,9145
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1972,10660
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1973,858
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1974,9814
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1975,11478
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1976,4450
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1977,353
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1978,7265
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1979,32045
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1980,1687
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1981,1159
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1982,17222
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1983,19952
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1984,1147
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1985,571
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1986,3533
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1987,32336
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1988,964
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1989,568
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1990,1870
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1991,20191
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1992,1205
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1993,1131
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1994,4422
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1995,10349
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1996,2030
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1997,91
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1998,2166
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,1999,12392
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2000,1227
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2001,515
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2002,4873
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2003,1939
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2004,52
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2005,112
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2006,3509
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2007,538
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2008,340
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2009,705
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2010,9669
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2011,6948
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2012,835
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2013,2106
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2014,4378
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2015,1113
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2016,2387
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2017,673
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2018,336
NuSEDS counts by stream,CULTUS LAKE,Lake sockeye,2019,23